"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.253743415,
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.591437158,
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.567909373,
"BGR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",0.640259306,
"BGR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.445050608,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-10.069032243,"P"
"BGR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",4.281045762,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q1",1.913975601,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q2",0.386355225,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.865542667,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.144696959,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q1",0.170785544,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-12.15886766,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q3",6.057459147,"P"
"ROU","QGDP","TOT","PC_CHGPP","Q","2020-Q4",5.300335926,"P"
